method,auroc,fpr_at_95_tpr,ap,n_samples,ood_ratio
MSP,0.6171133262528384,1.0,0.18984428313693325,176947200,0.1122448334870515
MaxLogit,0.5588083201623638,0.9419632358728104,0.15971491814731525,176947200,0.1122448334870515
Entropy,0.6175562981355738,0.9483575061222438,0.19627476551206224,176947200,0.1122448334870515
Energy,0.5559160183674549,0.9419622109551589,0.1547113866572297,176947200,0.1122448334870515
ODIN,0.6021074664350864,0.9494986277912303,0.20404782502263127,176947200,0.1122448334870515
GEN,0.6163648969378136,0.9483537374809412,0.19184958533433605,176947200,0.1122448334870515
DICE,0.5558179940425116,0.9419624273973959,0.15453710635986997,176947200,0.1122448334870515
Gram,0.6704082315875262,0.9532077156488329,0.21220796395378297,176947200,0.1122448334870515
KL_Matching,0.6175135757495159,1.0,0.19621392987975836,176947200,0.1122448334870515
